Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
2020-03-02,7730861.3,14.4,14.6,14,1,0,49573.7,15,5695.86486935918,0.66332495807108,0.66332495807108,0,0,0,5695.85863676408,0,7780479
2020-03-03,6630917.5,52,25.9,15.6,1,0.1,1149466.9,16.7,125782.329857775,9.49736805646701,3.53411940941446,1.49666295470958,0,0.3,125774.210984963,1.79666295470958,7780479
2020-03-04,5652839.2,112.5,58.3,17.3,1.1,0.5,2127450.1,18.9,220584.950388189,15.3704261489394,8.34326075344646,2.1,0.3,0.670820393249937,220565.774767732,3.07082039324994,7780479
2020-03-05,4851872.1,223.6,119.2,23.6,1.2,0.7,2928238.6,25.5,286384.391752571,42.1051065786562,23.5151015307185,2.65329983228432,0.4,0.781024967590665,286331.208090281,3.83432479987498,7780479
2020-03-06,4165740.3,388.4,237,33.7,1.2,1.2,3614077.2,36.1,333347.029813691,71.9099436795774,46.784612855083,4.26731765867037,0.4,1.6,333246.479487421,6.26731765867037,7780479
2020-03-07,3554941.4,653.1,435.6,54.2,1.6,1.9,4224391.2,57.7,366475.015961034,130.642604076924,95.009683716977,4.95580467734555,0.489897948556636,1.81383571472171,366280.26158334,7.25953834062389,7780479
2020-03-08,3053998.5,1017,739,96.7,2.3,2.9,4724622.6,101.9,385595.965165418,206.021358116094,167.57028376177,10.0900941521871,0.781024967590665,2.42693221990232,385267.016838504,13.2980513396801,7780479
2020-03-09,2624321.1,1478.9,1202.1,159.5,3.6,5.9,5153307.9,169,395182.793689313,309.392453043057,287.040920427733,15.1739909054935,1.113552872566,3.38969025133566,394659.217180202,19.6772340293952,7780479
2020-03-10,2241440.4,2093.7,1877.2,265,7,9.7,5534786,281.7,396721.221725584,452.260113209202,451.314258582642,27.2323337229845,3.06594194335118,3.9,395921.634104023,34.1982756663357,7780479
2020-03-11,1926914.4,2781.8,2761.4,411.5,13.8,15.5,5847580.6,440.8,392348.775422378,566.58588051592,670.06271348285,51.7691993370576,5.36283507111677,5.33385414123783,391239.810175856,62.4658885494122,7780479
2020-03-12,1656832.8,3522.1,3870.5,628,22.1,23.4,6115580.1,673.5,383882.838618712,712.806769047545,931.917190527141,85.6656290468937,9.71030380575191,5.44426303552648,382393.706992008,100.820195888172,7780479
2020-03-13,1424609.5,4294,5203.5,935,37.3,33,6345366.7,1005.3,371761.3071271,801.804714378757,1268.28082458105,128.869701636964,13.2442440327865,4.69041575982343,369881.916359816,146.804361429573,7780479
2020-03-14,1217610.4,5041.3,6831.9,1349.9,63.5,49.7,6549532.3,1463.1,356487.792964696,893.118362816486,1663.35182387852,184.70216566137,19.9261135197007,5.33010318849457,354159.250823426,209.958382369565,7780479
2020-03-15,1047201.4,5705.6,8582,1825.6,97.3,75.2,6716991.9,1998.1,340005.232981553,979.44333169408,2064.80977332054,246.556362724631,28.1320102374501,9.70360757656656,337234.76681963,284.391980538648,7780479
2020-03-16,900615.3,6229.5,10470.5,2423.7,146.5,103.3,6860490.2,2673.5,322585.617242942,996.827994189569,2491.42751249158,335.889877787349,45.9309264004113,14.0502669013795,319416.18726727,395.871071089139,7780479
2020-03-17,769619,6645.8,12489.4,3164.3,220.3,147.1,6988193.1,3531.7,303926.160671963,996.248844415892,2920.77219926512,439.35408271689,59.9984166457749,18.7320580823357,300363.929220354,518.084557445001,7780479
2020-03-18,661909,6899.4,14390.6,3983.5,316.2,196.9,7092783.4,4496.6,285887.999125881,926.096992760477,3315.7860063641,551.257154148588,85.9788346048026,23.7084373167022,282072.433669155,660.944426070093,7780479
2020-03-19,569440.7,6968,16242.9,4882,444.8,253.7,7182246.9,5580.5,267726.734498462,850.988014016649,3690.15011754265,653.375083700014,110.103405941869,25.2905120549189,263713.734835503,788.769001696802,7780479
2020-03-20,486963,6843.3,18067.8,5923.2,606.2,326.1,7261749.4,6855.5,249194.81105633,734.373072763429,3982.95819209793,786.781519864314,142.847331091624,32.6694046471618,245087.426005987,962.2982556031,7780479
2020-03-21,419217.6,6622.2,19598.4,6995.4,803.9,417.7,7326823.8,8217,231748.590406155,655.501609456453,4230.03277055864,916.443473434123,181.95683554074,39.0923266127766,227627.368826246,1137.49263558764,7780479
2020-03-22,361094,6260.7,20876.3,8102.8,1058.6,515.3,7382571.3,9676.7,215065.296643136,646.059757298038,4423.07153570909,1031.03373368673,229.13672774132,48.8836373442075,211006.708049792,1309.05409877226,7780479
2020-03-23,309072.5,5847.6,21966.1,9275.3,1374.1,628.2,7432315.2,11277.6,198261.403417937,664.643092193096,4501.95198663868,1159.00837356768,271.231432544239,57.0715340603352,194327.113403045,1487.31134017225,7780479
2020-03-24,266460.5,5392.2,22717.1,10424.9,1723.8,745.8,7473014.7,12894.5,182841.560598924,726.992957324897,4539.83709950038,1268.08055343499,331.800482217853,65.114975236116,179094.570479426,1664.99601088896,7780479
2020-03-25,229904.4,4886.3,23216.4,11550.5,2134.4,876.2,7507910.8,14561.1,168465.253687637,785.735458026428,4514.30068116868,1363.55771788363,392.09442740238,75.0783590657121,164966.846512746,1830.73050435172,7780479
2020-03-26,197331.2,4360.2,23491.1,12659.5,2624.5,1029,7538983.5,16313,154414.037788538,846.583817468773,4468.62111730229,1445.81840145988,453.976265899441,86.156833739408,151177.018456675,1985.95150109873,7780479
2020-03-27,170500.7,3864.6,23501.4,13692.9,3154,1183.3,7564582.1,18030.2,141657.322394608,893.01771538979,4340.29796672993,1523.31076606187,526.879492863406,111.72023093424,138709.260723609,2161.91048985952,7780479
2020-03-28,147462.6,3397.1,23309.7,14687.4,3735,1335.6,7586551.6,19758,129903.720067749,923.921149232985,4219.73631996124,1592.8186462997,589.850150461963,127.583070977305,127257.513489145,2310.25186773896,7780479
2020-03-29,126896.6,2940.9,22920,15593,4415.1,1515.2,7606198.2,21523.3,118368.149889402,943.539977955359,4059.5119657417,1671.63883659121,661.938131550072,135.876267243401,116032.914519803,2469.45323538468,7780479
2020-03-30,110045.3,2539,22404.4,16361.4,5130.1,1688.2,7622310.6,23179.7,108260.936541349,937.971534749323,3908.75392420654,1721.43046330661,746.452603987688,154.24188795525,106209.166710976,2622.12495524955,7780479
2020-03-31,95496.6,2195.9,21746.6,17056,5887,1867.2,7636229.7,24810.2,98892.5925579869,911.437375797153,3733.80058921202,1763.84330369792,814.135123919857,178.944572423977,97120.3780893073,2756.92300004176,7780479
2020-04-01,82962.8,1853.9,21034.5,17618.9,6702.7,2054.7,7648251.5,26376.3,90160.9979955857,881.095505606515,3558.50247295123,1811.40726784453,909.155877723947,196.769433601868,88655.8962035239,2917.33257917035,7780479
2020-04-02,71753.6,1566.2,20176.7,18107.1,7616.9,2244.3,7659014.2,27968.3,81980.659962213,830.273786169358,3399.50005294896,1872.25983506564,1005.09844791443,217.481516455997,80714.9409995448,3094.83979943606,7780479
2020-04-03,62501.2,1312.1,19318.4,18465.2,8525.5,2432.2,7667924.4,29422.9,74643.583308681,770.435000502963,3228.27310492777,1911.06184096695,1102.01862506947,237.209949201124,73584.8799526098,3250.29041523755,7780479
2020-04-04,54490.1,1087.5,18452,18698,9478.7,2618.7,7675654,30795.4,67929.1543969892,707.344223133263,3097.22617837316,1901.740308244,1198.27735103356,264.866022736024,67063.646336894,3364.88368201359,7780479
2020-04-05,47322.9,900.8,17508.3,18841.5,10511.6,2812,7682581.9,32165.1,61562.8642632066,627.050683756903,2949.93861122566,1926.58611279122,1301.48193994385,286.232073674492,60869.10470255,3514.30012640956,7780479
2020-04-06,41362.4,751,16607,18863.6,11554.3,2988.7,7688352,33406.6,56008.7715830298,560.56453687332,2848.93422177487,1889.71623266563,1413.66665448401,307.471966201799,55453.0088489344,3610.85485335144,7780479
2020-04-07,36220.1,619.1,15715.9,18824.3,12597.7,3160.8,7693341.1,34582.8,50949.2789948003,492.736937929358,2722.10431284328,1880.55497393722,1533.03907647522,323.4377219806,50530.0693774509,3737.03177239304,7780479
2020-04-08,31624.9,511.6,14795,18692.5,13711,3336.1,7697807.9,35739.6,46147.4783806223,433.960412941088,2599.51472394368,1860.82558290668,1634.90709216151,345.433191804146,45851.368687205,3841.16586687234,7780479
2020-04-09,27735.1,414.7,13936.7,18484.2,14800,3503.8,7701604.5,36788,41877.4993390245,371.967753978756,2498.68137424522,1853.4921526675,1725.54912998732,357.259233610553,41689.5971202649,3936.30051626537,7780479
2020-04-10,24365.5,342.8,13097.9,18222.3,15896.4,3663.8,7704890.3,37782.5,38059.2610996325,311.328700893445,2397.2266663793,1831.00579190782,1810.44448685951,377.118495966453,37973.4830350075,4018.56877473379,7780479
2020-04-11,21340,280.5,12257.2,17865.4,17054.3,3831.9,7707849.7,38751.6,34407.1141539072,270.024906258663,2308.23836724026,1790.95428194022,1933.27768569339,392.884321397533,34422.5261160479,4117.11628903114,7780479
2020-04-12,18780,232.8,11511.5,17441,18166.4,3992.9,7710354.4,39600.3,31216.4501601319,233.636384152811,2238.15228480995,1750.82146434181,2024.47105190467,407.422250251505,31316.3465212659,4182.71476649799,7780479
2020-04-13,16546.3,186,10783.8,17010.8,19265.5,4140.4,7712546.2,40416.7,28285.5966387488,193.18954423053,2150.12961469768,1713.56656129839,2118.17257323382,421.507105515435,28467.0648919062,4253.24624004765,7780479
2020-04-14,14527.4,145.9,10076.1,16505.9,20406.2,4283.7,7714533.8,41195.8,25559.4488211307,149.174025889228,2070.15064427688,1677.62179587653,2214.25377046083,433.596367604711,25819.4089583786,4325.47193394207,7780479
2020-04-15,12852.3,115.4,9415.3,16022.9,21474.1,4412,7716187,41909,23237.3598889805,118.489830787287,1989.19843404322,1641.57335809278,2304.9769825315,445.402514586525,23569.822260679,4391.9528552108,7780479
2020-04-16,11370.4,91.6,8794.1,15496,22546,4533,7717647.9,42575,21075.9529473758,99.3017623207161,1912.18495182867,1574.58947030647,2399.91970699022,463.869593743759,21488.1928437456,4438.37877104044,7780479
2020-04-17,10068.2,75.1,8203.8,14964.4,23585,4648,7718934.5,43197.4,19128.3395296089,82.2684021967122,1839.01657415043,1512.94607967369,2496.19185961336,472.543966208437,19613.4634944979,4481.68190549549,7780479
2020-04-18,8891.4,61.5,7642.7,14357.3,24667.1,4762.6,7720096.4,43787,17330.1328973554,69.2636268181215,1765.4964769152,1442.98316344994,2592.88983375692,485.460441230797,17903.7298304013,4521.33343843766,7780479
2020-04-19,7866.3,49.9,7119.7,13816.4,25655.7,4858.7,7721112.3,44330.8,15675.4595980469,56.8461960028989,1681.20088329741,1400.40988285573,2675.04074922234,495.233490386101,16341.1447215304,4570.68412246417,7780479
2020-04-20,6977.9,40.3,6640.6,13231.5,26639.6,4956,7721993.1,44827.1,14194.2510365993,45.672858461016,1606.36329639344,1353.00674425518,2754.71153480723,503.780507761068,14950.4008136906,4611.49878682348,7780479
2020-04-21,6162.9,31.3,6177.4,12606.5,27646,5053.6,7722801.3,45306.1,12791.5302794466,37.1861533369613,1543.8900349442,1289.59034193034,2832.75618435474,512.704437273562,13653.2737836022,4635.05096355863,7780479
2020-04-22,5479.2,25.7,5757.8,12020.8,28573,5141.8,7723480.7,45735.6,11573.3949798665,29.6615913261578,1473.95928030594,1218.31398251846,2929.91975999344,525.556619214334,12538.2793400849,4673.79036172623,7780479
2020-04-23,4884.6,20.5,5379.8,11411.8,29492.6,5218.4,7724071.3,46122.8,10477.2859290944,24.134000911577,1405.40583462571,1168.9927116967,2998.82357600443,536.526271490968,11554.5233484554,4704.3425591921,7780479
2020-04-24,4327.4,17,4999.6,10808.4,30406.4,5295.5,7724624.7,46510.3,9440.9751847995,20.9904740299022,1328.35659369011,1118.26823258107,3076.73418416346,543.016804528184,10639.9766357826,4738.01922127272,7780479
2020-04-25,3873.8,14.5,4662.2,10258.3,31233.6,5361.5,7725075.1,46853.4,8590.88137271142,16.261918705983,1265.03199959527,1050.32157456657,3156.32635194778,549.053230570589,9907.19345172991,4755.70115708494,7780479
2020-04-26,3466.8,10.7,4358.1,9701.2,32038.5,5423.1,7725480.6,47162.8,7802.86409980335,11.5935326799039,1205.4383808391,1006.19290397021,3213.01992679784,555.152672694638,9246.66459000217,4774.36550346269,7780479
2020-04-27,3089.3,8.2,4055.8,9148,32838.6,5482.5,7725856.6,47469.1,7057.03653171783,8.44748483277715,1141.07815683239,963.337116486228,3278.98545894915,556.313985083963,8641.85790440921,4798.63656051935,7780479
2020-04-28,2760.2,6.8,3785.8,8624.2,33580.9,5536.9,7726184.2,47742,6400.04112174289,7.37292343646671,1085.84601118206,898.690803335608,3358.67427566294,559.625312150907,8124.46279824088,4816.99039114946,7780479
2020-04-29,2471.3,5.4,3525.8,8126.6,34291.1,5587,7726471.8,48004.7,5797.71794846904,5.21919534027996,1026.9406798837,853.209024799902,3415.17526490223,566.108293526954,7673.64269170777,4834.49258322908,7780479
2020-04-30,2192.8,3.6,3279.6,7614.8,35004.4,5634.1,7726749.7,48253.3,5209.85287316254,3.104834939252,978.142341379822,816.504966304554,3469.734174256,569.675951748009,7248.15608344633,4855.91509230857,7780479
2020-05-01,1957,2.4,3059.7,7152.3,35645.5,5677,7726985.1,48474.8,4710.13165421095,2.65329983228432,922.910293582209,776.802555351101,3535.912081769,574.759427934853,6911.65889566318,4887.47406505496,7780479
2020-05-02,1747.9,1.7,2855.3,6694.3,36267.2,5718.5,7727194.1,48680,4251.17481291936,1.552417469626,875.614418565615,757.03395564532,3579.90496521905,577.470388851238,6618.17552577748,4914.40930971561,7780479
2020-05-03,1562.6,1.7,2652.8,6247.1,36880.6,5755.7,7727378.5,48883.4,3832.33266301348,2.23830292855994,821.252312021099,732.715558726577,3624.63700803267,580.278734747363,6372.3014563029,4937.63130150661,7780479
2020-05-04,1403.8,1.6,2475,5835.4,37437.2,5789,7727537,49061.6,3478.29831383106,2.00997512422418,769.359733804675,704.738845246947,3672.86405411363,584.556070877722,6175.84013717972,4962.1589702383,7780479
2020-05-05,1265.1,1.7,2308.4,5467.6,37941.4,5819.4,7727675.4,49228.4,3155.8952596688,2.19317121994613,722.669800116208,669.088065952457,3723.92398418657,589.883073159419,6008.44512665298,4982.89512329845,7780479
2020-05-06,1138.4,1.3,2156.2,5098.5,38438.4,5844.4,7727801.8,49381.3,2857.12807553319,2.00249843945008,680.991747380245,633.095292985187,3780.48835998737,593.053319693938,5864.2633944938,5006.6369726665,7780479
2020-05-07,1026.3,1.1,2008.9,4725.7,38931.8,5871.4,7727913.8,49528.9,2588.16920041948,1.4456832294801,636.29449942617,608.277740838838,3828.60718277548,595.010621753931,5740.84014409041,5031.89554536825,7780479
2020-05-08,925.5,1,1872.9,4402.5,39365.3,5897.4,7728014.4,49665.2,2347.16059314228,0.894427190999916,598.011279157843,586.810403793252,3870.08604684702,598.489298149933,5641.75815149852,5055.38574879021,7780479
2020-05-09,831.1,1.1,1751.5,4086.9,39781.9,5918,7728108.5,49786.8,2128.27655392808,1.22065556157337,562.251233880371,548.249113086378,3913.80925569962,604.659077497394,5556.90671597068,5066.71744628339,7780479
2020-05-10,744.6,1.3,1625.8,3775.5,40198.1,5939.1,7728194.6,49912.7,1914.11233735118,1.61554944214035,525.322529499735,523.109596547416,3954.17967345946,606.807457106453,5483.26434161258,5084.09672711333,7780479
2020-05-11,669.3,1.1,1523.9,3495.4,40563.7,5955.9,7728269.7,50015,1725.27389419767,1.13578166916005,495.71492815932,491.351442452345,4004.85160898628,608.532899685794,5424.91491269679,5104.73595112442,7780479
2020-05-12,604.1,0.5,1424.3,3240.8,40900.8,5973.6,7728334.9,50115.2,1560.69564297463,0.670820393249937,467.060178135537,473.906066641903,4037.5438276259,609.12284475301,5377.8590247421,5120.57273902081,7780479
2020-05-13,546.4,0.3,1324.8,2993.5,41231.2,5990.2,7728392.6,50214.9,1415.34308208293,0.458257569495584,435.00271263522,445.660016155814,4082.14036505361,612.028561425037,5341.73011673185,5139.82894263446,7780479
2020-05-14,495,0.5,1242,2759.1,41533.9,6004.7,7728443.8,50297.7,1282.58722900238,0.670820393249937,411.059363109515,420.679081961535,4120.92514976916,615.368515606705,5313.28176930228,5156.9727473374,7780479
